IDOrder,Status,OrderedDate,ConfirmDate,DeliveryDate,DeliveredDate,TotalMoney,TotalAmount,IDMember,Address,PhoneNumber,Email,FullName,Notes,IDZipCode,IDShipper
1570,4,2019-05-03 21:18:00,2019-05-03 22:39:00,2019-05-04 09:49:00,2019-05-06 15:57:00,11558000,4,421,"Phường Nguyễn Du, Quận Hai Bà Trưng, Hà Nội",0984429047,ngannguyenulis@gmail.com,Lương Thị Phương Thảo,Giao nhanh nha anh !,411,3
1571,4,2018-12-25 22:37:00,2018-12-26 01:59:00,2018-12-26 08:53:00,2018-12-28 20:10:00,5858000,2,508,"Phường 03, Quận 8, Hồ Chí Minh",0984429047,nguyen_duong278@yahoo.com.vn, Lê Chí Công,Giao nhanh nha anh !,92,6
1572,4,2019-06-12 18:22:00,2019-06-12 20:07:00,2019-06-13 05:13:00,2019-06-14 06:11:00,3220000,2,434,"Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội",0984429047,chitai@cavn.vn,Lê Đức Minh,Giao nhanh nha anh !,419,8
1573,4,2019-08-31 07:55:00,2019-08-31 09:53:00,2019-09-01 02:23:00,2019-09-02 20:03:00,13779000,3,371,"Xã Thanh Bình, Thị xã Bình Long, Bình Phước",0984429047,huong.wfc@gmail.com,Trần Thị Thu Trang,Giao nhanh nha anh !,643,9
1574,4,2019-02-11 04:26:00,2019-02-11 04:37:00,2019-02-11 23:04:00,2019-02-13 21:23:00,7000000,4,469,"Kainuu, Saint George, Hyesan",0984429047,giacquanthusau_9999@yahoo.com.vn, Trần Đình Quý,Giao nhanh nha anh !,994,2
1575,4,2019-10-22 23:03:00,2019-10-23 00:48:00,2019-10-23 16:33:00,2019-10-25 00:53:00,6480000,2,435,"Suffolk, Sud-Kivu, Port-de-Paix",0984429047,chukyso24@gmail.com,Đặng Thị Tố Uyên,Giao nhanh nha anh !,1345,9
1576,4,2018-03-05 09:12:00,2018-03-05 10:14:00,2018-03-06 02:04:00,2018-03-07 13:20:00,10872000,3,13,"Phường 08, Quận Phú Nhuận, Hồ Chí Minh",0984429047,xzcycycy@gmail.com,Lê Công Nhân,Giao nhanh nha anh !,193,7
1577,4,2018-03-20 19:06:00,2018-03-20 21:46:00,2018-03-21 07:56:00,2018-03-23 01:20:00,3276000,2,19,"Keski-Pohjanmaa, Rajshahi, Homs",0984429047,info@datbinhduongvn.vn,Nguyễn Việt Hùng,Giao nhanh nha anh !,1030,7
1578,4,2019-07-12 04:21:00,2019-07-12 09:09:00,2019-07-12 16:16:00,2019-07-13 17:43:00,8281000,2,193,"Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",0984429047,tran.tri@hoasengroup.vn,Đặng Tiểu Bình,Giao nhanh nha anh !,409,3
1579,4,2018-12-11 07:48:00,2018-12-11 11:25:00,2018-12-11 20:11:00,2018-12-13 20:27:00,4309500,1,326,"Krapinsko-zagorska _upanija, Zl nsk_ kraj, Luganville",0984429047,rosefeed@gmail.com, Nguyễn Trần Thành,Giao nhanh nha anh !,1544,2
1580,4,2018-02-28 06:27:00,2018-02-28 09:06:00,2018-03-01 01:43:00,2018-03-02 10:17:00,3240000,1,370,"Phường Tân Thành, Quận Tân Phú, Hồ Chí Minh",0984429047,thaophan1109@gmail.com,Nguyễn Đức Tình,Giao nhanh nha anh !,184,3
1581,4,2018-01-25 08:53:00,2018-01-25 10:53:00,2018-01-26 00:37:00,2018-01-28 09:14:00,4478500,1,86,"Phường Trường Thạnh, Quận 9, Hồ Chí Minh",0984429047,hungdung2412@yahoo.com,Lê Hữu Hưng,Giao nhanh nha anh !,118,2
1582,4,2018-03-28 10:26:00,2018-03-28 14:06:00,2018-03-29 03:21:00,2018-03-31 14:54:00,8849000,1,55,"Oromiya, Magura, Ankara",0984429047,contact@truongthanh.com,Bùi Quốc Việt,Giao nhanh nha anh !,1045,7
1583,4,2018-10-19 20:35:00,2018-10-20 00:32:00,2018-10-20 12:52:00,2018-10-21 13:21:00,7480000,2,380,"B_ja a, Ciudad Aut noma de Buenos Aires, Midlands",0984429047,nmngoc.sh@gmail.com,Khổng Thanh Dũng,Giao nhanh nha anh !,841,1
1584,4,2018-02-24 04:42:00,2018-02-24 08:58:00,2018-02-25 02:21:00,2018-02-26 08:14:00,1418000,1,473,"Burgos, Bagerhat, Yangon",0984429047,hoa5789@gmail.com,Mai Cao Sơn,Giao nhanh nha anh !,983,2
1585,4,2019-06-18 13:57:00,2019-06-18 15:20:00,2019-06-19 06:41:00,2019-06-21 10:38:00,14638000,4,217,"Val-de-Marne, Donga, Vilnius",0984429047,huu.van@setiabecamex.vn, Chu Việt Khánh,Giao nhanh nha anh !,1171,3
1586,4,2019-08-08 13:15:00,2019-08-08 18:10:00,2019-08-09 01:44:00,2019-08-11 11:03:00,6300000,2,189,"Xã Minh Tân, Huyện Dầu Tiếng, Bình Dương",0984429047,anhly07@yahoo.com,Phạm Thị Linh,Giao nhanh nha anh !,530,9
1587,4,2018-06-17 21:23:00,2018-06-17 22:06:00,2018-06-18 14:14:00,2018-06-19 13:43:00,8281000,2,111,"Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",0984429047,quyenhp@viethuongip.com, Đặng Văn Tám,Giao nhanh nha anh !,464,8
1588,4,2019-12-27 03:21:00,2019-12-27 05:10:00,2019-12-27 18:39:00,2019-12-29 09:37:00,12098000,4,114,"Phường 14, Quận 10, Hồ Chí Minh",0984429047,phuongnam@dntbinhduong.com,Trần Ngọc Lục,Giao nhanh nha anh !,132,2
1589,4,2019-07-28 09:21:00,2019-07-28 10:40:00,2019-07-29 00:18:00,2019-07-30 03:00:00,1418000,1,452,"Anatolik  Makedon a kai Thr ki, Praha, Hlavn  me_to, Las Piedras",0984429047,yenmac90@gmail.com,Nguyễn Thị Thu Hà,Giao nhanh nha anh !,1455,1
1590,4,2018-01-13 09:53:00,2018-01-13 13:23:00,2018-01-13 23:00:00,2018-01-15 04:53:00,12898000,4,415,"Higuamo, K_rnten, Phnom Penh",0984429047,huynhchau5987@yahoo.com,Cao Chí Dũng,Giao nhanh nha anh !,904,6
1591,4,2018-10-30 18:54:00,2018-10-30 20:52:00,2018-10-31 13:40:00,2018-11-02 19:49:00,15818000,2,457,"Phường An Mỹ, TP. Tam Kỳ, Quảng Nam",0984429047,daotrankhanh_1@yahoo.com, Lê Xuân Hậu,Giao nhanh nha anh !,724,1
1592,4,2018-01-17 17:33:00,2018-01-17 18:33:00,2018-01-18 05:13:00,2018-01-19 19:40:00,17698000,2,108,"Carchi, Queensland, Guangzhou",0984429047,hai.hophi@yeobd.com,Huỳnh Thế Quảng,Giao nhanh nha anh !,911,6
1593,4,2019-07-23 06:36:00,2019-07-23 09:32:00,2019-07-24 00:56:00,2019-07-24 22:57:00,3220000,2,376,"Nyanga, Zou, Vaduz",0984429047,giangiu212@gmail.com,Lê Đình Thắng,Giao nhanh nha anh !,1168,4
1594,4,2019-09-22 08:09:00,2019-09-22 11:45:00,2019-09-23 02:40:00,2019-09-24 04:37:00,4140500,1,404,"Phước Tân, TP. Biên Hòa, Đồng Nai",0984429047,tathinhiem@gmail.com, Phan Tuấn Dũng,Giao nhanh nha anh !,547,9
1595,4,2018-09-30 03:00:00,2018-09-30 07:49:00,2018-09-30 23:47:00,2018-10-03 00:33:00,1638000,1,103,"Shetland Islands, Lacs, Los Angeles",0984429047,ngoctan_ho@yahoo.com.au,Nguyễn Thị Lệ Thu,Giao nhanh nha anh !,1405,9
1596,4,2019-04-23 13:09:00,2019-04-23 16:15:00,2019-04-24 06:19:00,2019-04-26 11:01:00,17456000,3,12,"Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh",0984429047,chinh@danang.com,Hà Đức Chinh,Giao nhanh nha anh !,253,4
1597,4,2020-01-01 08:46:00,2020-01-01 09:26:00,2020-01-01 20:47:00,2020-01-03 10:30:00,7605000,2,30,"Ki_-Ntem, S o Domingos, Dededo Village",0984429047,vyngon@bdu.edu.vn, Lê Huy Hải,Giao nhanh nha anh !,1482,5
1598,4,2018-02-09 18:47:00,2018-02-09 22:25:00,2018-02-10 06:29:00,2018-02-11 06:14:00,2836000,2,185,"Phường 16, Quận Gò Vấp, Hồ Chí Minh",0984429047,honganh@protradegarment.com,Trương Thị Phi Yến,Giao nhanh nha anh !,216,3
1599,4,2018-01-06 20:13:00,2018-01-06 23:12:00,2018-01-07 05:23:00,2018-01-09 04:10:00,10310000,3,448,"Phường An Phú Đông, Quận 12, Hồ Chí Minh",0984429047,tuvanthue68@gmail.com,Lê Văn Cao,Giao nhanh nha anh !,150,2
1600,4,2020-01-20 01:20:00,2020-01-20 06:08:00,2020-01-20 14:51:00,2020-01-22 19:17:00,4725000,3,284,"Demerara-Mahaica, Villa Clara, Port Moresby",0984429047,phuthanheib@gmail.com,Nguyễn Văn Thân,Giao nhanh nha anh !,1518,1
1601,4,2020-02-04 11:15:00,2020-02-04 11:41:00,2020-02-05 04:44:00,2020-02-07 15:18:00,7909000,1,455,"Saint Luke, Paktika, Cairo",0984429047,hoanguyen0601@gmail.com,Bùi Quang Vũ,Giao nhanh nha anh !,807,6
1602,4,2018-05-13 07:00:00,2018-05-13 10:49:00,2018-05-13 17:03:00,2018-05-14 16:18:00,18654000,4,371,"Durham, Mayaguana, Oslo",0984429047,huong.wfc@gmail.com,Trần Thị Thu Trang,Giao nhanh nha anh !,1203,4
1603,4,2018-11-29 08:48:00,2018-11-29 12:56:00,2018-11-30 07:35:00,2018-12-01 06:07:00,10398500,3,43,"Xã Nam Sơn, TP. Bắc Ninh, Bắc Ninh",0984429047,saomaibd@saomai-oa.com,Vũ Ngọc Thương,Giao nhanh nha anh !,712,5
1604,4,2019-11-25 21:37:00,2019-11-26 00:01:00,2019-11-26 18:39:00,2019-11-28 17:56:00,4859000,2,346,"Phường Đoàn Kết, TP. Lai Châu, Lai Châu",0984429047,abc@gmail.com,Lê Bá Sự,Giao nhanh nha anh !,671,9
1605,4,2019-02-02 18:01:00,2019-02-02 21:19:00,2019-02-03 15:30:00,2019-02-05 01:33:00,14085000,4,6,"Loja, Shkod r, Limpopo",0984429047,phanvui45@gmail.com,Phan Đăng Vui,Giao nhanh nha anh !,838,6
1606,4,2018-12-07 00:08:00,2018-12-07 00:15:00,2018-12-07 07:58:00,2018-12-08 23:39:00,7909000,1,129,"Phường Khánh Xuân, TP. Buôn Ma Thuột, Đắk Lắk",0984429047,le_huy2102@yahoo.com,Trần Triệu Anh,Giao nhanh nha anh !,727,5
1607,4,2018-06-12 17:59:00,2018-06-12 19:51:00,2018-06-13 14:07:00,2018-06-14 14:51:00,15829000,4,197,"Sandwell, Ouaka, Victoria",0984429047,ngocduc@dntbinhduong.com,Lê Hữu Phúc,Giao nhanh nha anh !,1332,9
1608,4,2019-07-14 20:11:00,2019-07-14 21:13:00,2019-07-15 12:21:00,2019-07-17 14:06:00,7605000,2,213,"Phường Phạm Đình Hổ, Quận Hai Bà Trưng, Hà Nội",0984429047,ngocmaitran2012@gmail.com,Nguyễn Văn Dưỡng,Giao nhanh nha anh !,412,3
1609,4,2018-02-05 10:08:00,2018-02-05 10:16:00,2018-02-05 17:17:00,2018-02-07 22:27:00,9714000,4,157,"Hareri Hizb, Brahmanbaria, Mecca",0984429047,sonluu@vietson.vn, Nguyễn Thị Thanh Thúy,Giao nhanh nha anh !,1017,3
1610,4,2018-08-18 18:02:00,2018-08-18 19:19:00,2018-08-19 08:09:00,2018-08-21 19:41:00,6298000,2,468,"Xã Phước Bình, Huyện Long Thành, Đồng Nai",0984429047,hoangthanhhangconic@gmail.com,Nguyễn Văn Kiên,Giao nhanh nha anh !,584,9
1611,4,2020-01-29 12:45:00,2020-01-29 13:26:00,2020-01-29 22:25:00,2020-01-31 00:07:00,13878500,3,303,"Obock, Saint John, Moutsamoudou",0984429047,info@anova.com.vn,Nguyễn Thanh Hải,Giao nhanh nha anh !,796,1
1612,4,2019-04-08 09:09:00,2019-04-08 11:44:00,2019-04-08 20:17:00,2019-04-10 23:44:00,9609000,3,187,"Phường 11, Quận Bình Thạnh, Hồ Chí Minh",0984429047,info@doimat.vn,Nguyễn Tri Phương,Giao nhanh nha anh !,224,3
1613,4,2018-02-28 11:22:00,2018-02-28 14:08:00,2018-03-01 09:34:00,2018-03-02 23:02:00,8499000,2,13,"Soria, Jhalakathi, Pyongyang",0984429047,xzcycycy@gmail.com,Lê Công Nhân,Giao nhanh nha anh !,991,2
1614,4,2019-03-09 18:15:00,2019-03-09 22:41:00,2019-03-10 06:24:00,2019-03-12 03:28:00,12049500,2,184,"Phường 06, Quận Tân Bình, Hồ Chí Minh",0984429047,phonh@esquel.com, Đoàn Thị Kim Anh,Giao nhanh nha anh !,166,3
1615,4,2018-06-27 22:58:00,2018-06-28 01:21:00,2018-06-28 12:07:00,2018-06-29 13:06:00,15818000,2,384,"Phường Quỳnh Lôi, Quận Hai Bà Trưng, Hà Nội",0984429047,huongvcu@gmail.com,Hoàng Đức Thọ,Giao nhanh nha anh !,414,8
1616,4,2018-01-01 15:49:00,2018-01-01 18:56:00,2018-01-02 03:15:00,2018-01-04 02:17:00,4700000,1,434,"Phường 09, Quận Gò Vấp, Hồ Chí Minh",0984429047,chitai@cavn.vn,Lê Đức Minh,Giao nhanh nha anh !,209,2
1617,4,2019-07-06 04:51:00,2019-07-06 04:54:00,2019-07-06 16:58:00,2019-07-08 00:33:00,12338000,4,352,"Phường Phúc Tân, Quận Hoàn Kiếm, Hà Nội",0984429047,giadungaloma@gmail.com,Phan Viết Hùng,Giao nhanh nha anh !,397,3
1618,4,2018-07-03 21:28:00,2018-07-03 23:36:00,2018-07-04 19:26:00,2018-07-07 05:17:00,1418000,1,94,"Hammersmith and Fulham, New Providence, Martin",0984429047,nghiakd2412@gmail.com,Huỳnh Văn Khái,Giao nhanh nha anh !,1234,8
1619,4,2018-01-07 15:19:00,2018-01-07 19:11:00,2018-01-08 12:33:00,2018-01-10 06:27:00,9519000,2,7,"Debubawi K eyyi Bari, Yardimli, Jalal-Abad",0984429047,phanvui453@gmail.com,Phan Đăng Vui,Giao nhanh nha anh !,960,6
1620,4,2018-06-01 15:44:00,2018-06-01 19:27:00,2018-06-02 06:26:00,2018-06-03 08:37:00,4914000,3,234,"Orne, Mato Grosso, Kaunas",0984429047,bichhang333@gmail.com,Nguyễn Văn Cường,Giao nhanh nha anh !,1172,8
1621,4,2018-11-07 09:14:00,2018-11-07 12:12:00,2018-11-08 08:05:00,2018-11-09 17:23:00,21676000,4,78,"Yomou, Saarland, Faaa",0984429047,chinh@motorimage.net,Nguyễn Văn Trực,Giao nhanh nha anh !,1478,5
1622,4,2018-08-06 01:57:00,2018-08-06 04:51:00,2018-08-06 16:22:00,2018-08-08 07:04:00,5778500,2,246,"Phường Phúc Xá, Quận Ba Đình, Hà Nội",0984429047,khoa@starmedia.vn,Hoàng Ngọc Chính,Giao nhanh nha anh !,490,8
1623,4,2019-10-13 17:33:00,2019-10-13 22:32:00,2019-10-14 16:50:00,2019-10-15 18:47:00,5280000,1,510,"Tombali, Cienfuegos, Haveluloto",0984429047,lananh_162083@yahoo.com.vn,Trần Tiến Doãn,Giao nhanh nha anh !,1535,6
1624,4,2018-03-08 22:47:00,2018-03-09 02:26:00,2018-03-09 22:08:00,2018-03-12 00:52:00,9505000,2,143,"Bouches-du-Rh ne, Kouritenga, Gomel",0984429047,tunglamvms@gmail.com,Hồ Thị Diễm Trang,Giao nhanh nha anh !,1077,7
1625,4,2020-02-14 13:29:00,2020-02-14 17:03:00,2020-02-15 04:23:00,2020-02-17 11:30:00,7069500,2,491,"Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh",0984429047,tranxuanmai88@gmail.com.ec,Nguyễn Thị Hồng Cẩm,Giao nhanh nha anh !,89,2
1626,4,2019-04-24 10:54:00,2019-04-24 15:22:00,2019-04-25 03:16:00,2019-04-26 22:08:00,9126000,2,338,"Cher, Gourma, Tirana",0984429047,vietht4@fpt.com.vn,Phan Quỳnh Hương,Giao nhanh nha anh !,1064,8
1627,4,2018-10-24 18:24:00,2018-10-24 20:37:00,2018-10-25 04:22:00,2018-10-26 02:39:00,10620500,3,44,"Kommune Qeqertalik, Antioquia, Brokopondo",0984429047,taitra.event@gmail.com,Nguyễn Thị Hoa,Giao nhanh nha anh !,1451,9
1628,4,2018-06-17 20:44:00,2018-06-18 00:59:00,2018-06-18 18:28:00,2018-06-19 21:53:00,11117000,4,345,"Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội",0984429047,lamgiang@unicovina.com,Cấn Văn Tuấn,Giao nhanh nha anh !,463,8
1629,4,2020-01-02 03:51:00,2020-01-02 04:24:00,2020-01-02 12:56:00,2020-01-03 21:46:00,9316000,4,288,"Saint Andrew, Helmand, Ebebiyin",0984429047,duc.tn@vib.com.vn,Trần Trung Kiên,Giao nhanh nha anh !,814,9
1630,4,2018-03-20 19:06:00,2018-03-20 21:46:00,2018-03-21 07:56:00,2018-03-23 01:20:00,5858000,2,245,"Keski-Pohjanmaa, Rajshahi, Homs",0984429047,ngocthuynaomi@yahoo.com, Nguyễn Văn Thành,Giao nhanh nha anh !,1030,7
1631,4,2018-07-31 01:27:00,2018-07-31 03:36:00,2018-07-31 20:04:00,2018-08-02 17:54:00,5560000,2,229,"Hartlepool, Lobatse, Saint George",0984429047,tttthao@vietinbank.vn,Trần Duy Trung,Giao nhanh nha anh !,1287,8
1632,4,2019-12-28 00:06:00,2019-12-28 02:16:00,2019-12-28 12:35:00,2019-12-29 17:43:00,5827000,3,94,"Phường Tây Sơn, Thị xã An Khê, Gia Lai",0984429047,nghiakd2412@gmail.com,Huỳnh Văn Khái,Giao nhanh nha anh !,735,5
1633,4,2018-03-13 00:31:00,2018-03-13 02:33:00,2018-03-13 20:28:00,2018-03-16 01:53:00,7585500,3,240,"Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",0984429047,nhapv.nbd@vietcombank.com.vn,Trần Văn Hiền,Giao nhanh nha anh !,347,8
1634,4,2018-01-15 06:38:00,2018-01-15 11:30:00,2018-01-15 17:57:00,2018-01-18 05:00:00,20534000,4,345,"Phường 09, Quận 8, Hồ Chí Minh",0984429047,lamgiang@unicovina.com,Cấn Văn Tuấn,Giao nhanh nha anh !,98,6
1635,4,2019-08-02 13:46:00,2019-08-02 13:56:00,2019-08-03 01:26:00,2019-08-04 02:53:00,9134000,4,137,"Haute-Vienne, Alibori, Monte-Carlo",0984429047,thachthachbaongoc@yahoo.com.vn,Nguyễn Anh Tuấn,Giao nhanh nha anh !,1188,4
1636,4,2018-09-04 20:46:00,2018-09-05 00:56:00,2018-09-05 16:06:00,2018-09-07 19:04:00,3990000,2,199,"Southampton, Ticino (it), Le Lamentin",0984429047,nnmai23@gmail.com,Lê Bá Quỳnh,Giao nhanh nha anh !,1355,9
1637,4,2018-10-25 20:04:00,2018-10-25 22:46:00,2018-10-26 06:10:00,2018-10-28 14:31:00,4140500,1,64,"Phường Bà Triệu, TP. Nam Định, Nam Định",0984429047,pdl@pdlpottery.com,Trương Quang,Giao nhanh nha anh !,713,5
1638,4,2018-03-25 23:31:00,2018-03-26 01:03:00,2018-03-26 09:05:00,2018-03-28 01:14:00,12040000,4,28,"Satakunta, Shariatpur, Bangkok",0984429047,dungbien@songbetourist.vn,Nguyễn Văn Chuynh,Giao nhanh nha anh !,1040,7
1639,4,2018-06-25 06:08:00,2018-06-25 07:16:00,2018-06-26 00:01:00,2018-06-27 15:42:00,5860000,2,66,"Derry and Strabane, Chhukha, Moscow",0984429047,duongvx-con@unigroup.com.vn,Phan Đình Luân Đôn,Giao nhanh nha anh !,1219,8
1640,4,2018-08-26 08:41:00,2018-08-26 11:29:00,2018-08-27 03:45:00,2018-08-28 22:23:00,19308000,3,242,"Redcar and Cleveland, Sankuru, Petit-Bourg",0984429047,phanvanbay11@gmail.com,Huỳnh Hồng Lợi,Giao nhanh nha anh !,1337,9
1641,4,2019-08-22 21:30:00,2019-08-22 21:35:00,2019-08-23 13:50:00,2019-08-24 19:14:00,19958500,3,280,"Phường Liễu Giai, Quận Ba Đình, Hà Nội",0984429047,khuonmau@namthientruong.com.vn,Lê Văn Huy,Giao nhanh nha anh !,487,9
1642,4,2018-02-20 15:07:00,2018-02-20 16:46:00,2018-02-21 06:18:00,2018-02-23 11:43:00,5858000,2,105,"Phường 08, Quận Tân Bình, Hồ Chí Minh",0984429047,thanhkdth@gmail.com,Nguyễn Thị Hòa,Giao nhanh nha anh !,168,7
1643,4,2019-08-26 04:10:00,2019-08-26 07:45:00,2019-08-27 02:02:00,2019-08-28 16:00:00,5830500,1,293,"Thị trấn Long Điền, Huyện Long Điền, Bà Rịa - Vũng Tàu",0984429047,minhviet.2005@yahoo.com.vn,Nguyễn Hữu Tuyến,Giao nhanh nha anh !,495,9
1644,4,2019-02-06 02:41:00,2019-02-06 04:29:00,2019-02-06 10:43:00,2019-02-08 05:20:00,8260000,2,504,"P lvamaa, Beylqan, Kutaisi",0984429047,minhnguyet0294@yahoo.com,Phan Gia Tâm,Giao nhanh nha anh !,915,2
1645,4,2018-06-01 15:44:00,2018-06-01 19:27:00,2018-06-02 06:26:00,2018-06-03 08:37:00,11210000,3,310,"Orne, Mato Grosso, Kaunas",0984429047,kien.nguyen@xtra.co.nz,Đoàn Văn Lượng,Giao nhanh nha anh !,1172,4
1646,4,2020-02-27 02:39:00,2020-02-27 06:30:00,2020-02-27 16:19:00,2020-02-29 00:24:00,2929000,1,476,"Tlemcen, Kwanza Sul, Torba",0984429047,tranxuanmai88@gmail.com,Nguyễn Thanh San,Giao nhanh nha anh !,853,6
1647,4,2019-07-29 06:06:00,2019-07-29 08:47:00,2019-07-29 19:15:00,2019-08-01 03:08:00,1638000,1,308,"Phường Khương Thượng, Quận Đống Đa, Hà Nội",0984429047,phu.nguyenthien@hoasen.edu.vn,Nguyễn Văn Thuần,Giao nhanh nha anh !,441,9
1648,4,2019-11-16 16:07:00,2019-11-16 16:45:00,2019-11-16 23:55:00,2019-11-18 16:50:00,19094000,4,406,"Xã Mỹ Tân, TP. Cao Lãnh, Đồng Tháp",0984429047,ketoangiathanh.vn@gmail.com,Trần Tôn Nữ Trà My,Giao nhanh nha anh !,653,5
1649,4,2019-02-16 09:51:00,2019-02-16 13:54:00,2019-02-17 06:14:00,2019-02-19 03:18:00,2836000,2,76,"Phường 08, Quận 10, Hồ Chí Minh",0984429047,vinh.vq@vsip.com.vn,Đỗ Như Tạo,Giao nhanh nha anh !,126,6
1650,4,2018-11-02 06:29:00,2018-11-02 11:04:00,2018-11-02 18:44:00,2018-11-04 00:21:00,15531000,4,358,"Pita, Casanare, Avarua",0984429047,photocopyanthinh@gmail.com,Trần Tiến Huy,Giao nhanh nha anh !,1469,9
1651,4,2019-05-03 21:18:00,2019-05-03 22:39:00,2019-05-04 09:49:00,2019-05-06 15:57:00,25789000,4,196,"Bas-Rhin, Cankuzo, Peel",0984429047,minhson@dntbinhduong.com,Nguyễn Quang Hà,Giao nhanh nha anh !,1151,4
1652,4,2018-07-11 18:43:00,2018-07-11 20:57:00,2018-07-12 08:41:00,2018-07-14 02:35:00,7040000,2,374,"East Renfrewshire, Haa, Helsingborg",0984429047,hanh.ib1010@gmail.com,Phạm Văn Nan,Giao nhanh nha anh !,1248,4
1653,4,2020-02-18 21:09:00,2020-02-18 22:13:00,2020-02-19 10:35:00,2020-02-20 12:17:00,8780000,4,442,"Los R os, Samaxi, Takeo",0984429047,gargamel3101@gmail.com,Bùi Tiến Hoàng,Giao nhanh nha anh !,905,7
1654,4,2019-11-23 05:47:00,2019-11-23 05:56:00,2019-11-23 16:32:00,2019-11-24 15:32:00,33516000,4,221,"Southern Grenadine Islands, Zug (de), Chicago",0984429047,tranvanhung70@gmail.com,Trần Hoàng Hiệp,Giao nhanh nha anh !,1406,5
1655,4,2019-09-27 11:54:00,2019-09-27 14:53:00,2019-09-28 04:01:00,2019-09-29 09:39:00,2929000,1,403,"Phường Bắc Cường, TP. Lào Cai, Lào Cai",0984429047,ggh_2015@yahoo.com, Anne Kristina Sảderberg,Giao nhanh nha anh !,695,5
1656,4,2018-02-08 21:03:00,2018-02-08 23:19:00,2018-02-09 11:33:00,2018-02-10 20:07:00,2630000,1,361,"Phường 13, Quận Gò Vấp, Hồ Chí Minh",0984429047,khoinguonsangtaovn@gmail.com,Lê Văn Chung,Giao nhanh nha anh !,213,7
1657,4,2018-06-21 03:23:00,2018-06-21 06:08:00,2018-06-22 00:40:00,2018-06-23 12:40:00,6076000,3,263,"Val-d'Oise, Distrito Federal, Lublin",0984429047,truongpx2@techcombank.com.vn,Ngô Huỳnh Quốc Anh,Giao nhanh nha anh !,1210,4
1658,4,2019-01-24 08:37:00,2019-01-24 11:02:00,2019-01-25 05:58:00,2019-01-26 03:45:00,2836000,2,340,"Keski-Pohjanmaa, Rajshahi, Homs",0984429047,phamthiyenazlaw@gmail.com,Nguyễn Đức Thành,Giao nhanh nha anh !,1030,3
1659,4,2019-11-22 10:42:00,2019-11-22 10:58:00,2019-11-23 00:23:00,2019-11-24 05:16:00,17236000,3,208,"Phường Lê Lợi, TP. Kon Tum, Kon Tum",0984429047,thinh.nguyenphu@yeobd.com,Lâm Bá Tưởng,Giao nhanh nha anh !,666,5
1660,4,2019-02-23 03:26:00,2019-02-23 08:07:00,2019-02-23 17:42:00,2019-02-25 02:45:00,9274000,4,508,"Phường 08, Quận Gò Vấp, Hồ Chí Minh",0984429047,nguyen_duong278@yahoo.com.vn, Lê Chí Công,Giao nhanh nha anh !,208,7
1661,4,2019-02-01 23:56:00,2019-02-02 03:21:00,2019-02-02 10:21:00,2019-02-04 02:17:00,4914000,3,246,"Cibao Sur, Luanda, Gagaifomauga",0984429047,khoa@starmedia.vn,Hoàng Ngọc Chính,Giao nhanh nha anh !,837,1
1662,4,2019-08-02 13:46:00,2019-08-02 13:56:00,2019-08-03 01:26:00,2019-08-04 02:53:00,10745000,3,233,"Haute-Vienne, Alibori, Monte-Carlo",0984429047,hungtran.1973@yahoo.com,Hoàng Thị Út Khánh,Giao nhanh nha anh !,1188,9
1663,4,2018-03-08 22:47:00,2018-03-09 02:26:00,2018-03-09 22:08:00,2018-03-12 00:52:00,8849000,1,408,"Xã Xuân Thới Đông, Huyện Hóc Môn, Hồ Chí Minh",0984429047,zaixom2@gmail.com,Nguyễn Đức Long,Giao nhanh nha anh !,269,8
1664,4,2018-08-24 18:31:00,2018-08-24 19:33:00,2018-08-25 04:26:00,2018-08-27 09:50:00,9547000,2,265,"Salford, Gribingui, Les Abymes",0984429047,biconsi@hcm.vnn.vn, Lê Văn Khoa,Giao nhanh nha anh !,1334,4
1665,4,2019-03-30 22:45:00,2019-03-30 23:27:00,2019-03-31 07:44:00,2019-04-01 22:55:00,5280000,1,61,"Phường 07, Quận Gò Vấp, Hồ Chí Minh",0984429047,vanphong@dntbinhduong.com,Đặng Công Vinh,Giao nhanh nha anh !,207,3
1666,4,2018-09-10 20:16:00,2018-09-11 00:11:00,2018-09-11 10:25:00,2018-09-13 07:15:00,11760000,3,318,"Boffa, Nei Mongol (mn), Kourou",0984429047,duong@haophuong.com,Lưu Văn Vương,Giao nhanh nha anh !,1436,1
1667,4,2018-12-11 02:53:00,2018-12-11 06:24:00,2018-12-12 02:21:00,2018-12-13 21:43:00,12989500,2,461,"AI Qahirah, Culfa, Nagoya",0984429047,dinhhaktdn@gmail.com, Lê Quang Cường,Giao nhanh nha anh !,945,2
1668,4,2019-06-11 17:42:00,2019-06-11 18:59:00,2019-06-12 04:26:00,2019-06-13 09:20:00,13689000,3,281,"Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",0984429047,phamphuthy@vietravel.com.vn,Lê Minh Hào,Giao nhanh nha anh !,348,3
